Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,3427700,,,,3705000,3515000,3410000,3339000,3284000,3269000,3790200,3692450,3522110,3445500,3304780,3074500,2903300,2857900,2749300,2597112,2629862,2475862,2417862,2414962,2247563,2275127,2170330,2194700,2164550,2149800,2131480,2117800,2067000,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,2079930,,,,2228000,2761000,1843000,1691000,1763000,1668000,2627350,2736850,2693150,2729900,2710150,2723500,2254700,2442250,2534200,2038800,2173550,,2376750,2640750,2899850,3139180,3132630,3153630,2435450,2460600,2460950,2368530,2298000,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,36500,,,,39000,31000,32000,33000,31000,35000,34500,36000,34400,35100,35100,35100,35400,34900,30100,31000,31000,32000,32000,32000,25050,24975,25000,25000,25000,25000,24900,24200,25000,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,4000,5000,5000,5000,5000,4000,3900,3600,3600,3500,3500,3500,3500,3500,3500,3000,4000,4000,4000,4000,3500,3500,3500,3500,3500,3500,3500,3500,4000,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,464300,,,,554000,550000,542000,522000,506000,506000,502400,491300,473100,452200,411600,389400,374400,361800,360400,358000,359000,354000,353000,353000,341967,341967,332250,325600,318400,312350,306350,306100,307000,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,10000,9000,10000,7000,7000,6000,9500,9500,9500,9500,9500,6700,6700,6700,6700,6000,7000,,7000,7000,6700,6700,6700,6700,6700,6700,6700,6700,7000,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,334000,,,,318000,308000,301000,293000,271000,257000,233000,221000,218000,218000,218000,212500,211400,210400,212600,205000,217000,181000,160000,160000,178470,174020,165650,169150,159150,154700,152350,150250,148000,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,7000,14000,15000,39200,39200,32800,33400,28500,29200,29200,22000,23000,33000,33000,33000,32355,32355,32350,32350,32350,32350,26050,26050,26000,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,15100,,,,16000,9000,9000,7000,7000,7000,12800,14500,8000,8000,8000,8000,7000,7000,7000,7000,7000,,14000,14000,15500,15500,15500,15500,15500,15500,15500,15500,16000,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,9900,,,,15000,15000,15000,15000,15000,12000,19300,19300,19300,19300,19300,19300,17300,19300,12300,11000,13000,,19000,19000,19300,19300,12300,12300,12300,12300,12300,12300,13000,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,2000,2000,2000,1000,1000,1000,800,800,800,800,800,800,800,800,800,800,800,,1000,1000,800,800,800,800,800,800,800,800,1000,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,8550,,,,10000,12000,12000,11000,11000,7000,9200,9300,9250,9250,9300,9300,11300,11300,14200,9000,9000,9000,9000,6000,6458,6458,6450,6450,6450,6450,4450,4450,4000,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,1000,1000,1000,1000,1000,1000,1600,1600,1620,1600,1600,1600,1600,2300,1300,1000,1000,,1000,1000,1320,1320,1320,1320,1320,1320,1320,1450,1000,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,201500,,,,201000,201000,205000,208000,213000,206000,201800,198800,166300,172500,169600,163200,163200,181600,181600,167000,168000,161000,161000,161000,142936,149647,148350,147350,148950,146950,146950,145350,146000,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,31700,,,,43000,43000,43000,44000,44000,34000,56500,56500,50500,41200,40900,52900,50400,50400,50400,48000,48000,35000,35000,35000,34212,34212,42300,42300,42300,43050,43050,43050,43000,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,6600,,,,4000,4000,4000,2000,2000,2000,3100,3100,3100,3100,3100,3100,3100,3100,3100,2000,3000,3000,3000,3000,2600,2600,1100,1100,1100,3400,3400,3400,3000,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,7255500,,,,7693000,7602000,7514000,7228000,7168000,7017000,7274800,7116240,7029000,7024430,6897130,6557000,6437400,6412300,6282500,6091322,6365872,6031632,6053982,6036442,5895351,5923826,5787466,5786270,5710840,5549590,5508420,5532130,5392000,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,16600,,,,19000,18000,17000,17000,17000,17000,24300,24300,24300,14300,14300,14300,14300,14300,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18700,18700,22700,23000,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,793330,,,,1008000,1020000,853000,821000,859000,799000,1569850,1599650,1599300,1575950,1754750,1816000,1251200,1376550,1317400,1183800,1213800,,1237000,1283000,1453713,1486138,1628750,1644050,1631670,1634820,1638270,1526100,1506000,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103000,80000,70000,150000,104700,98000,96180,101000,101000,68300,61000,30800,30000,31000,21000,21000,22000,21600,21600,21600,19550,19550,19550,18550,18550,18000,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,6900,,,,9000,8000,8000,8000,8000,,7000,7000,5500,5300,5300,5300,8300,5300,5300,,,5400,,,,0,50,50,120,120,120,200,0,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,106000,,,,109000,94000,87000,78000,65000,60000,73000,78100,74100,70800,65000,57800,47800,47400,47400,46000,44000,44000,37000,37000,41626,34587,38500,38500,38500,38500,38500,39800,40000,,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,12112100,,,,13076000,12448000,11431000,13734000,13030000,12844000,17839900,17895420,17566590,17634080,17210430,17256100,16783500,16625200,16592000,15794510,16879310,16625070,15867420,16079250,16347934,16331909,16382633,16557144,15777903,16067760,16196530,16286360,16407000,,
